Key,English,Japanese

TwitchToolsAnnouncement,Twitch Changing List,Twitch 仕様一覧
TwitchToolsAnnouncementDesc,Please see what are changed for Twitch Integration in Journal.,Twitchインテグレーションに関する仕様変更があります。ジャーナルにて確認お願いします。
TwitchToolsTip_title,[FF9800]MOD[-]　-　Twitch,[FF9800]MOD[-]　-　Twitch
TwitchToolsTip,Added several contents for Twitch streamer who are playing Darkness Falls Mod.\n\n[FF9800]1. Contents Ver.4.03[-]\nAdded Twitch integration commands for Darkness Falls Mod\nAdded Special supply box for Darkness Falls Mod\n\n[FF9800]2. Future Updates[-]\nReview/Update Twitch integration commands\nReview/Update Special supply box\n\nMore detail in Website\nhttps://7daystodie.jp/mods/twitch_streamer_support_pack_for_darkness_falls_mod/index.html\n\nMod Name: Twitch_Streamer_Support_Pack_for_Darkness_Falls_Mod\nAuthor: 7 Days to Die Gaming Community Japan\nVersion: 4.03\nWebsite: https://7daystodie.jp/\nDiscord: https://discord.gg/bdW6msJ6M2,ダークネスフォールズMODを利用しTwitch配信を行うストリーマー向けに開発されたMODです。DF専用アイテムの追加支援ボックス、ゾンビスポーン等のコマンドの追加他、視聴者側に便利なTwitchインテグレーションコピーツールも利用可能です。\n\n[FF9800]1. コンテンツ内容 Ver.4.03[-]\nダークネスフォールズMOD用Twitchコマンドの追加\nダークネスフォールズMOD専用ゾンビ、NPCをスポーンさせるコマンド\n・ダークネスフォールズMOD専用アイテムが封入された、専用サプライボックス(通称: ガチャボックス)\n\n[FF9800]2. 次回アップデート予定[-]\n・追加Twitchコマンドの検討\n・ガチャボックスアイテム内容の更新\n\nMod Name: Twitch_Streamer_Support_Pack_for_Darkness_Falls_Mod\nAuthor: 7 Days to Die Gaming Community Japan\nVersion: 4.03\nWebsite: https://7daystodie.jp/\nDiscord: https://discord.gg/bdW6msJ6M2

TwitchActionCategory_DF,Darkness Falls,Darkness Falls

TwitchAction_MiniHorde1,Mini Horde Tier1,ミニホード Tier1
TwitchAction_MiniHorde1Command,#mini_horde1,#ミニホード1
TwitchAction_MiniHorde1Desc,Spawn Zombie Scouts. Zombies may be increased depends on your game stage.\nRewards:Gacha Box Tier1~3,コマンド概要:\n絶叫ゾンビ各種のうち、いずれかを出現させます。ゲームステージにより絶叫ゾンビ襲撃数が変更され、支援物資、サバイバーのサポートが得られます。\n\n報酬:\nガチャボックス Tier1~2 *ゾンビドロップとして

TwitchAction_MiniHorde2,Mini Horde Tier2,ミニホード Tier2
TwitchAction_MiniHorde2Command,#mini_horde2,#ミニホード2
TwitchAction_MiniHorde2Desc,Spawn Nighr Stalkers. Zombies may be increased depends on your game stage.\nRewards:Gacha Box Tier2~3,コマンド概要:\nナイトストーカー各種のうち、いずれかを出現させます。ゲームステージによりナイトストーカー襲撃数が変更され、支援物資、サバイバーのサポートが得られます。\n\n報酬:\nガチャボックス Tier2~3 *ゾンビドロップとして

TwitchAction_MiniHorde3,Mini Horde Tier3,ミニホード Tier3
TwitchAction_MiniHorde3Command,#mini_horde3,#ミニホード3
TwitchAction_MiniHorde3Desc,Spawn Demon Zombies. Zombies may be increased depends on your game stage.\nRewards:Gacha Box Tier3,コマンド概要:\nデモニックゾンビ各種のうち、いずれかを出現させます。ゲームステージによりデモニックゾンビ襲撃数が変更され、支援物資、サバイバーのサポートが得られます。\n\n報酬:\nガチャボックス Tier3 *ゾンビドロップとして

TwitchAction_MiniHorde4,Mini Horde Tier4,ミニホード Tier4
TwitchAction_MiniHorde4Command,#mini_horde4,#ミニホード4
TwitchAction_MiniHorde4Desc,Spawn Incubus. Zombies may be increased depends on your game stage.\nRewards:Gacha Box Tier3~5,コマンド概要:\nインキュバスグループを出現させます。ゲームステージによりゾンビ襲撃数が変更され、支援物資、サバイバーのサポートが得られます。\n\n報酬:\nガチャボックス Tier3~5 *ゾンビドロップとして

TwitchAction_MiniHorde5,Mini Horde Tier5,ミニホード Tier5
TwitchAction_MiniHorde5Command,#mini_horde5,#ミニホード5
TwitchAction_MiniHorde5Desc,Spawn Succubus. Zombies may be increased depends on your game stage.\nRewards:Gacha Box Tier3~5,コマンド概要:\nサキュバスグループを出現させます。ゲームステージによりゾンビ襲撃数が変更され、支援物資、サバイバーのサポートが得られます。\n\n報酬:\nガチャボックス Tier3~5 *ゾンビドロップとして

TwitchAction_MiniHorde6,Mini Horde Tier6,ミニホード Tier6
TwitchAction_MiniHorde6Command,#mini_horde6,#ミニホード6
TwitchAction_MiniHorde6Desc,Spawn Incubus. Zombies may be increased depends on your game stage.\nRewards:Gacha Box Tier4~6,コマンド概要:\nベヒモスグループを出現させます。ゲームステージによりゾンビ襲撃数が変更され、支援物資、サバイバーのサポートが得られます。\n\n報酬:\nガチャボックス Tier4~6 *ゾンビドロップとして

TwitchAction_SpawnSurvivor,Survivor,サバイバー
TwitchAction_SpawnSurvivorCommand,#spawn_survivor,#サバイバー
TwitchAction_SpawnSurvivorDesc,Spawn survivors. They maybe or may not be helped you...,サバイバー各種のうち、いずれかをスポーンさせます。

gachaboxTip,A box containing the specified items at random.There are total 7 rarity.\n\n[9C8867]Junk[-]/[CF7F29]Common[-]/[A2A41B]Uncommon[-]/[42C234]Rare[-]/[315DCE]Epic[-]/[A42ACC]Legendary[-]/[660066]Heroic[-]\n\nMod Name: Twitch_Streamer_Support_Pack_for_Darkness_Falls_Mod\nAuthor: 7 Days to Die Gaming Community Japan\nVersion: 4.03\nWebsite: https://7daystodie.jp/\nDiscord: https://discord.gg/bdW6msJ6M2 ,指定されたアイテムがランダムに入っているボックスで、主に報酬等で入手できます。以下7種類のレア度が存在し、レア度に応じて内容が異なります。\n\n[9C8867]ジャンク[-]/[CF7F29]コモン[-]/[A2A41B]アンコモン[-]/[42C234]レア[-]/[315DCE]エピック[-]/[A42ACC]レジェンダリー[-]/[660066]ヒロイック[-]\n\nMod Name: Twitch_Streamer_Support_Pack_for_Darkness_Falls_Mod\nAuthor: 7 Days to Die Gaming Community Japan\nVersion: 4.03\nWebsite: https://7daystodie.jp/\nDiscord: https://discord.gg/bdW6msJ6M2
gachaboxTip_title,[AED6F1]Changes[-] - Gacha Box,[AED6F1]仕様変更[-] - ガチャボックス

gachaboxTiploading,A box containing the specified items at random.There are total 7 rarity.,指定されたアイテムがランダムに入っているボックスで、主に報酬等で入手できます。以下7種類のレア度が存在し、レア度に応じて内容が異なります。
gachaboxTiploading_title,[AED6F1]Changes[-] - Gacha Box,[AED6F1]仕様変更[-] - ガチャボックス

TwitchActionCategory_Gacha,Gacha Box,ガチャBOX

TwitchAction_GachaBoxJunk,Gacha Box Junk,ガチャBOX - ジャンク
TwitchAction_GachaBoxJunkCommand,#supply_gachajunk,#ジャンク
TwitchAction_GachaBoxJunkDesc,Supply 1x GachaBox Junk,ガチャBOX - ジャンクを支給する
